"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
2022-01-06,0.561145185451748,0,1.12819297041026,0.549727110042529,0.398039298245541,0.701414921839517,0.669225140824611,0.553495066006194,0.784955215643027,1.15093813736312,NA,NA,3.236361473862,0.134025249619681,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-07,0.59196928214724,0.59196928214724,0.59196928214724,0.58274727956822,0.437747111463281,0.727747447673159,0.700678599370156,0.618299774636524,0.783057424103788,1.14134595538074,NA,NA,3.1516858254653,0.143347352640859,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-08,0.620996615668102,0.620996615668102,0.620996615668102,0.615378144017765,0.474970950048025,0.755785337987505,0.732917169997077,0.679007231990281,0.786827108003873,1.13274481295855,NA,NA,3.07519193519601,0.152364473040742,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-09,0.648887115696227,0.648887115696227,0.648887115696227,0.647122494311301,0.524871111954167,0.769373876668435,0.765643253077506,0.732019803817278,0.799266702337735,1.12604235623247,NA,NA,3.00770383161878,0.161400582853547,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-10,0.676300711913514,0.676300711913514,0.676300711913514,0.67872984825005,0.585367811468155,0.772091885031946,0.798452762547017,0.778594773964606,0.818310751129428,1.12086355979879,NA,NA,2.94747158916663,0.170472357188651,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-11,0.703897334001857,0.703897334001857,0.703897334001857,0.711044225987961,0.643016275939508,0.779072176036414,0.832620865584894,0.824853146130351,0.840388585039437,1.11687371508138,NA,NA,2.89293525880558,0.179608605368629,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-12,0.732274322036804,0.732274322036804,0.732274322036804,0.743710171974256,0.696202331263722,0.79121801268479,0.869224640653643,0.864046043384873,0.874403237922414,1.11446447777348,NA,NA,2.84400348630088,0.189074880235476,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-13,0.761778657668506,0.761778657668506,0.761778657668506,0.776372230658159,0.744638589205276,0.808105872111042,0.9074986572285,0.900309058710908,0.914688255746092,1.11367626267664,0.199036822833134,2.80000856015676,2.80000856015676,0.199036822833134,1.11328156389798,1.1140709614553,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-14,0.792694732940765,0.792694732940765,0.792694732940765,0.810230232581079,0.792614377838121,0.827846087324037,0.94812273430595,0.940496186201439,0.95574928241046,1.11412220478261,0.209514810168606,2.75957910350158,2.75957910350158,0.209514810168606,1.10913006057689,1.11911434898833,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-15,0.825306939897384,0.825306939897384,0.825306939897384,0.846222241382688,0.84041091135116,0.852033571414217,0.992206475191054,0.972957863147904,1.0114550872342,1.11548215232209,0.220523267844444,2.72162587487433,2.72162587487433,0.220523267844444,1.10710290736528,1.12386139727889,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-16,0.859899670582166,0.859899670582166,0.859899670582166,0.883600151159603,0.882589480661285,0.884610821657921,1.0394833840825,1.00155746952858,1.07740929863642,1.11771766964633,0.232156029115993,2.68569570793354,2.68569570793354,0.232156029115993,1.09990909481038,1.13552624448227,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-17,0.896757317038913,0.896757317038913,0.896757317038913,0.923088922817807,0.918299741916618,0.927878103718996,1.08956966216116,1.02942076428369,1.14971856003862,1.12038868598086,0.244318051585031,2.65078429561193,2.65078429561193,0.244318051585031,1.09069252979602,1.15008484216571,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-18,0.936164271311428,0.936164271311428,0.936164271311428,0.965741865051742,0.949892976632423,0.981590753471062,1.1423043586418,1.05800778829165,1.22660092899194,1.12272495658518,0.256718961644755,2.61551131951947,2.61551131951947,0.256718961644755,1.08257637520044,1.16287353796991,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-19,0.978424662890316,0.978424662890316,0.978424662890316,1.01130339364071,0.979313195046997,1.04329359223443,1.19795039123087,1.08430878965925,1.3115919928025,1.12447164163035,0.269210143670533,2.57955958451341,2.57955958451341,0.269210143670533,1.0755443530567,1.173398930204,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-20,1.02392157105339,1.02392157105339,1.02392157105339,1.05951792436403,1.00807038617231,1.11096546255574,1.25670545356588,1.10712722865164,1.40628367848012,1.12577835440947,0.281780847034512,2.54337623268839,2.54337623268839,0.281780847034512,1.06765630345318,1.18390040536577,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-21,1.07305781252527,1.07305781252527,1.07305781252527,1.11031918769195,1.03739323920873,1.18324513617516,1.31574926519582,1.13688594798987,1.49461258240176,1.12599559906923,0.294034610101643,2.50615622151746,2.50615622151746,0.294034610101643,1.06203391853819,1.18995727960027,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-22,1.12623620403057,1.12623620403057,1.12623620403057,1.16398874315665,1.06464381002285,1.26333367629045,1.3728585185007,1.17786661349829,1.56785042350312,1.12405099533052,0.305299764033855,2.46656313810128,2.46656313810128,0.305299764033855,1.06316132681655,1.18494066384449,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-23,1.1838595622939,1.1838595622939,1.1838595622939,1.22079275013031,1.08846098035672,1.35312451990391,1.42926880731064,1.2218381283417,1.63669948627958,1.11979898618747,0.31524727700474,2.42492606652379,2.42492606652379,0.31524727700474,1.06794117502124,1.17165679735369,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-24,1.24633070403989,1.24633070403989,1.24633070403989,1.27820977158606,1.11810941192847,1.43831013124365,1.48630143252232,1.26110587136172,1.71149699368293,1.11452552045287,0.3242553806419,2.38377246263499,2.38377246263499,0.3242553806419,1.06737235391458,1.16167868699116,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-25,1.31405244599314,1.31405244599314,1.31405244599314,1.33431740206028,1.15731243157235,1.51132237254822,1.53763178792821,1.29788849032375,1.77737508553267,1.10812056135336,0.332091641422107,2.34324179991567,2.34324179991567,0.332091641422107,1.06362371715285,1.15261740555388,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-26,1.38678077508362,0.860647726779221,1.91291382338801,1.39028034827006,1.19903774013151,1.58152295640861,1.57926471587698,1.3393925332428,1.81913689851115,1.09915001498466,0.337857760536393,2.30137657231056,2.30137657231056,0.337857760536393,1.06354762781196,1.13475240215736,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-27,1.46168435906258,0.789158255489774,2.13421046263538,1.44726331693246,1.23712691931498,1.65739971454994,1.61627683313132,1.38527586261791,1.84727780364473,1.08772140637063,0.341374533365056,2.25874636772538,2.25874636772538,0.341374533365056,1.06192614068634,1.11351667205493,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-28,1.53528503588662,0.594713465366019,2.47585660640723,1.49938242143918,1.27334520650317,1.72541963637519,1.64620653624074,1.42082441136206,1.87158866111942,1.07506019777641,0.343056641403328,2.21762427925354,2.21762427925354,0.343056641403328,1.04738695499305,1.10273344055978,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-29,1.60410464351236,0.773479384144759,2.43472990287996,1.54315385807425,1.31393289904877,1.77237481709974,1.66422618915481,1.44192789998265,1.88652447832698,1.0617528596211,0.34309158949316,2.17907370763878,2.17907370763878,0.34309158949316,1.0259253567824,1.09758036245979,"All Switzerland","ILI corrected for percent positivity","2021/22"
