"sample_date","wwtp","measuring_period","measurement_type","value"
2022-04-17,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-17,"ARA Basel","2021/22","IAV_gc_per_day",1.96944e+12
2022-04-17,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-19,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-04-19,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-19,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-04-19,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-21,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-04-21,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-21,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-04-21,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-24,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-04-24,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-24,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-04-24,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-26,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-04-26,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-26,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-04-26,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-28,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-04-28,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-28,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-04-28,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-01,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-01,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-01,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-01,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-03,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-03,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-03,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-03,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-05,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-05,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-05,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-05,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-08,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
