"influenza_type","date","wwtp","total_cases","measuring_period"
"B",2022-11-10,"All provided data",1,"2022/23"
"B",2022-11-17,"All provided data",2,"2022/23"
"B",2022-11-24,"All provided data",3,"2022/23"
"B",2022-12-01,"All provided data",6,"2022/23"
"B",2022-12-08,"All provided data",4,"2022/23"
"B",2022-12-15,"All provided data",9,"2022/23"
"B",2022-12-22,"All provided data",9,"2022/23"
"B",2022-12-29,"All provided data",14,"2022/23"
"A",2021-08-26,"BASEL",0,"2021/22"
"A",2021-09-02,"BASEL",0,"2021/22"
"A",2021-09-09,"BASEL",0,"2021/22"
"A",2021-09-16,"BASEL",0,"2021/22"
"A",2021-09-23,"BASEL",0,"2021/22"
"A",2021-09-30,"BASEL",0,"2021/22"
"A",2021-10-07,"BASEL",0,"2021/22"
"A",2021-10-14,"BASEL",0,"2021/22"
"A",2021-10-28,"BASEL",0,"2021/22"
"A",2021-11-04,"BASEL",0,"2021/22"
"A",2021-11-11,"BASEL",0,"2021/22"
"A",2021-11-18,"BASEL",0,"2021/22"
"A",2021-12-02,"BASEL",0,"2021/22"
"A",2021-12-09,"BASEL",0,"2021/22"
"A",2021-12-16,"BASEL",0,"2021/22"
"A",2021-08-26,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-09-02,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-09-09,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-09-16,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-09-23,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-09-30,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-10-07,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-10-14,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-10-28,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-11-04,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-11-11,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-11-18,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2021-12-02,"ZUERICH(WERDHOELZLI)",0,"2021/22"
"A",2022-10-20,"ZUERICH(WERDHOELZLI)",0,"2022/23"
"A",2021-08-26,"VERNIER/AIRE",0,"2021/22"
"A",2021-09-02,"VERNIER/AIRE",0,"2021/22"
"A",2021-09-09,"VERNIER/AIRE",0,"2021/22"
"A",2021-09-16,"VERNIER/AIRE",0,"2021/22"
"A",2021-09-23,"VERNIER/AIRE",0,"2021/22"
"A",2021-09-30,"VERNIER/AIRE",0,"2021/22"
"A",2021-10-07,"VERNIER/AIRE",0,"2021/22"
"A",2021-10-14,"VERNIER/AIRE",0,"2021/22"
"A",2021-10-21,"VERNIER/AIRE",0,"2021/22"
"A",2021-11-11,"VERNIER/AIRE",0,"2021/22"
"A",2021-11-25,"VERNIER/AIRE",0,"2021/22"
"A",2021-12-02,"VERNIER/AIRE",0,"2021/22"
"A",2022-10-06,"VERNIER/AIRE",0,"2022/23"
"A",2022-10-20,"VERNIER/AIRE",0,"2022/23"
"A",2021-08-26,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-09-02,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-09-09,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-09-16,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-09-23,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-09-30,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-10-07,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-10-14,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-10-21,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-10-28,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-11-04,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-11-11,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-11-25,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-12-02,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-12-16,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2021-12-23,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2022-01-06,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2022-01-13,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2022-02-03,"BIOGGIO(LUGANO)",0,"2021/22"
"A",2022-10-13,"BIOGGIO(LUGANO)",0,"2022/23"
"A",2022-10-27,"BIOGGIO(LUGANO)",0,"2022/23"
"A",2021-08-26,"CHUR",0,"2021/22"
"A",2021-09-02,"CHUR",0,"2021/22"
"A",2021-09-09,"CHUR",0,"2021/22"
"A",2021-09-16,"CHUR",0,"2021/22"
"A",2021-09-23,"CHUR",0,"2021/22"
"A",2021-09-30,"CHUR",0,"2021/22"
"A",2021-10-07,"CHUR",0,"2021/22"
"A",2021-10-14,"CHUR",0,"2021/22"
"A",2021-10-21,"CHUR",0,"2021/22"
"A",2021-10-28,"CHUR",0,"2021/22"
"A",2021-11-04,"CHUR",0,"2021/22"
"A",2021-11-11,"CHUR",0,"2021/22"
"A",2021-11-18,"CHUR",0,"2021/22"
