"sample_date","wwtp","measuring_period","measurement_type","mean"
2022-04-29,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-04-29,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-09-12,"ARA Werdhölzli","2022/23","IAV_gc_per_day",0
2022-09-12,"ARA Werdhölzli","2022/23","IAV_gc_per_mL_WW",0
2022-09-12,"ARA Werdhölzli","2022/23","IBV_gc_per_day",316050214827.665
2022-09-12,"ARA Werdhölzli","2022/23","IBV_gc_per_mL_WW",2.511065323627
2022-09-16,"ARA Werdhölzli","2022/23","IAV_gc_per_day",706981132768.455
2022-09-16,"ARA Werdhölzli","2022/23","IAV_gc_per_mL_WW",3.2710920870238
2022-09-16,"ARA Werdhölzli","2022/23","IBV_gc_per_day",0
2022-09-16,"ARA Werdhölzli","2022/23","IBV_gc_per_mL_WW",0
2022-09-16,"STEP Aire","2022/23","IAV_gc_per_day",254362433889.035
2022-09-16,"STEP Aire","2022/23","IAV_gc_per_mL_WW",2.12294212700336
2022-09-16,"STEP Aire","2022/23","IBV_gc_per_day",246943605140.06
2022-09-16,"STEP Aire","2022/23","IBV_gc_per_mL_WW",2.06102361237281
2022-09-19,"ARA Werdhölzli","2022/23","IAV_gc_per_day",143234363742.35
2022-09-19,"ARA Werdhölzli","2022/23","IAV_gc_per_mL_WW",1.03644310150906
2022-09-19,"ARA Werdhölzli","2022/23","IBV_gc_per_day",0
2022-09-19,"ARA Werdhölzli","2022/23","IBV_gc_per_mL_WW",0
2022-09-19,"STEP Aire","2022/23","IAV_gc_per_day",367384722520.43
2022-09-19,"STEP Aire","2022/23","IAV_gc_per_mL_WW",2.98458675906568
2022-09-19,"STEP Aire","2022/23","IBV_gc_per_day",120968736569.601
2022-09-19,"STEP Aire","2022/23","IBV_gc_per_mL_WW",0.982734630198067
2022-09-23,"ARA Werdhölzli","2022/23","IAV_gc_per_day",135450608986.536
2022-09-23,"ARA Werdhölzli","2022/23","IAV_gc_per_mL_WW",1.05210076653904
2022-09-23,"ARA Werdhölzli","2022/23","IBV_gc_per_day",0
2022-09-23,"ARA Werdhölzli","2022/23","IBV_gc_per_mL_WW",0
2022-09-23,"STEP Aire","2022/23","IAV_gc_per_day",134856596253.566
2022-09-23,"STEP Aire","2022/23","IAV_gc_per_mL_WW",1.00905068017663
2022-09-23,"STEP Aire","2022/23","IBV_gc_per_day",136308074396.485
2022-09-23,"STEP Aire","2022/23","IBV_gc_per_mL_WW",1.01991121683603
2022-09-26,"ARA Werdhölzli","2022/23","IAV_gc_per_day",600264039481.617
2022-09-26,"ARA Werdhölzli","2022/23","IAV_gc_per_mL_WW",3.17301186967627
2022-09-26,"ARA Werdhölzli","2022/23","IBV_gc_per_day",0
2022-09-26,"ARA Werdhölzli","2022/23","IBV_gc_per_mL_WW",0
2022-09-26,"STEP Aire","2022/23","IAV_gc_per_day",0
2022-09-26,"STEP Aire","2022/23","IAV_gc_per_mL_WW",0
2022-09-26,"STEP Aire","2022/23","IBV_gc_per_day",0
2022-09-26,"STEP Aire","2022/23","IBV_gc_per_mL_WW",0
2022-09-30,"ARA Werdhölzli","2022/23","IAV_gc_per_day",227603020671.727
2022-09-30,"ARA Werdhölzli","2022/23","IAV_gc_per_mL_WW",1.02873281628471
2022-09-30,"ARA Werdhölzli","2022/23","IBV_gc_per_day",0
2022-09-30,"ARA Werdhölzli","2022/23","IBV_gc_per_mL_WW",0
2022-09-30,"STEP Aire","2022/23","IAV_gc_per_day",130998264498.836
2022-09-30,"STEP Aire","2022/23","IAV_gc_per_mL_WW",1.02979580292777
2022-09-30,"STEP Aire","2022/23","IBV_gc_per_day",0
2022-09-30,"STEP Aire","2022/23","IBV_gc_per_mL_WW",0
2022-10-03,"ARA Werdhölzli","2022/23","IAV_gc_per_day",387801898009.022
