"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type"
2021-12-31,0.710715312366857,0.710715312366857,0.710715312366857,1.13423928195088,1.01235131581641,1.25612724808535,1.9779569420624,1.76206931351434,2.19384457061045,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2022-01-01,1.13572888214657,1.13572888214657,1.13572888214657,1.3837904681581,1.24323345322182,1.52434748309438,2.18907140838506,1.93028624867821,2.4478565680919,1.43050771408202,NA,NA,2.78443012951636,0.5239066140804,NA,NA,"BASEL","A"
2022-01-02,1.56074245192629,1.28356168705635,1.83792321679622,1.61863923140314,1.45451600607793,1.78276245672835,2.39294442474943,2.09569353096162,2.69019531853723,1.35301997615067,NA,NA,2.56392055756073,0.525995421346097,NA,NA,"BASEL","A"
2022-01-03,1.985756021706,1.51556470427565,2.45594733913635,1.81900376305606,1.62668972566842,2.0113178004437,2.53443195676591,2.2167808814629,2.85208303206891,1.28922896188556,0.524733451854079,2.39137943799572,2.39137943799572,0.524733451854079,1.23834125587929,1.34011666789183,"BASEL","A"
2022-01-04,2.41076959148571,2.41076959148571,2.41076959148571,2.0319642022409,1.80033467406087,2.26359373042094,2.61095607210135,2.27990324977161,2.94200889443109,1.22545684006933,0.514425077158029,2.23976232292938,2.23976232292938,0.514425077158029,1.17975437462741,1.27115930551126,"BASEL","A"
2022-01-05,2.83578316126543,2.55860239639549,3.11296392613536,2.23999598182482,1.97139897331552,2.50859299033413,2.62747325348862,2.27848049522469,2.97646601175255,1.15754868334071,0.493719993601588,2.09933356056675,2.09933356056675,0.493719993601588,1.11135629123913,1.2037410754423,"BASEL","A"
2022-01-06,3.26079673104514,2.50532930965039,4.0162641524399,2.39433491877007,2.10320090439184,2.6854689331483,2.61651570390785,2.25325349717785,2.97977791063786,1.09601959855673,0.469999629515602,1.98251229965776,1.98251229965776,0.469999629515602,1.04739648227116,1.14464271484231,"BASEL","A"
2022-01-07,3.11413154890403,2.29398078275465,3.93428231505341,2.49520172834332,2.1873320167871,2.80307143989955,2.58582983991523,2.22819762297785,2.94346205685261,1.04686463398121,0.448186279328486,1.89512019510329,1.89512019510329,0.448186279328486,1.00266807605507,1.09106119190736,"BASEL","A"
2022-01-08,2.96746636676292,2.02958808424425,3.90534464928159,2.54281712581126,2.21521629142457,2.87041796019795,2.50404738785979,2.16723925243954,2.84085552328005,1.00656696290271,0.42742517346396,1.82946315016258,1.82946315016258,0.42742517346396,0.970069523157493,1.04306440264792,"BASEL","A"
2022-01-09,2.82080118462181,1.88292290210314,3.75867946714047,2.56266158636788,2.21823553706618,2.90708763566959,2.38747129570841,2.07172297811449,2.70321961330234,0.969540149073279,0.405257232057527,1.77568887997359,1.77568887997359,0.405257232057527,0.934813769020187,1.00426652912637,"BASEL","A"
