"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","pathogen","measuring_period"
2021-10-15,0,0,0.470191317430348,3.65376425984732e-10,0,0.175213004327707,4.77533204306899e-10,0,0.181863478198571,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-10-22,3.46403859510568e-10,0,0.387972252029663,4.22658313294956e-10,0,0.176563160724809,4.77490692809975e-10,0,0.175579496429327,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-10-29,7.29271283180142e-10,0,0.277180765599207,4.394762397308e-10,0,0.179353195186653,4.49443061133243e-10,0,0.168239668935471,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-11-05,1.05744336061121e-09,1.05744336061121e-09,1.05744336061121e-09,4.54038325187232e-10,0,0.1776170842033,4.54308755168035e-10,0,0.167621865003339,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-11-12,1.23976118140624e-09,0,0.277180766109696,4.67089483000073e-10,0,0.172010267869878,5.16968265115676e-10,0,0.164393931691633,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-11-19,1.18506583516773e-09,0,0.387972252868325,4.50104359797441e-10,0,0.165512304070873,5.80215814599231e-10,0,0.158970132385971,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-11-26,8.02198411498157e-10,0,0.387972252485457,4.62895163469165e-10,0,0.163171343702,8.69826445953337e-10,0,0.157199557848,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-12-03,0,0,0.387972251683259,5.28614270986642e-10,0,0.159823867511548,1.56729000626228e-09,0,0.155093556755163,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-12-10,0,0,0.470191317430348,5.86574655805627e-10,0,0.154763490091798,2.49842463430719e-09,0,0.147889705823778,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-12-17,0,0,0.470191317430348,8.54146312149236e-10,0,0.153428655756991,3.44638070199942e-09,0,0.141197355245859,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-12-24,0,0,0.277180764869935,1.46520732919624e-09,0,0.15345756073105,4.44713692850941e-09,0,0.138890319946123,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-12-31,0,0,0,2.23383282283589e-09,0,0.147536293852093,5.64410954196774e-09,0,0.144518847447368,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-01-07,0,0,0.387972251683259,3.02526571926347e-09,0,0.140520048239964,6.43125650349115e-09,0,0.156609266216832,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-01-14,0,0,0.277180764869935,3.90656279401721e-09,0,0.137992665045477,6.5126968147503e-09,0,0.16978208866891,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-01-21,0,0,0.277180764869935,4.99451993700081e-09,0,0.141036871604853,6.5245228804723e-09,0,0.187197072950707,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-01-28,4.6126408661144e-09,0,0.3879722562959,5.77416549142085e-09,0,0.148883392474013,6.63830458275325e-09,0,0.202189191052675,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-02-04,9.84516232293192e-09,9.84516232293192e-09,9.84516232293192e-09,6.00252305162171e-09,0,0.159518508907996,6.47709444608026e-09,0,0.205987834246437,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-02-11,1.44031078428078e-08,1.44031078428078e-08,1.44031078428078e-08,6.2043813842137e-09,0,0.174669232677681,5.88477796971583e-09,0,0.209527858597242,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-02-18,1.69920208980973e-08,0,0.470191334422369,6.48499131273807e-09,0,0.188175921618833,6.50540828057184e-09,0,0.216895381732399,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-02-25,1.63174449611557e-08,0,0.470191333747793,6.4819130437126e-09,0,0.193592131146805,9.22079527051892e-09,0,0.219905989136838,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-03-04,1.10849235043382e-08,0,0.470191328515272,6.01839941821247e-09,0,0.19912297348419,1.27424812142909e-08,0,0.215429886718297,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-03-11,0,0,0.387972251683259,6.68923550234894e-09,0,0.207872707506562,1.98892445194518e-08,0,0.207477750334445,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-03-18,0,0,0.387972251683259,9.27218111976103e-09,0,0.213057479499564,3.33490187791293e-08,0,0.196828170993667,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-03-25,0,0,0.277180764869935,1.23649512478156e-08,0,0.210279663031361,5.06522298579924e-08,0,0.189369209164813,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-04-01,0,0,0,1.8642514501438e-08,0,0.203420272663988,6.4758805785329e-08,0,0.1884415842838,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-04-08,0,0,0.277180764869935,3.01340853798851e-08,0,0.195319640053823,7.88039823824766e-08,0,0.197630316571859,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-04-15,0,0,0.537123260663703,4.44687476870201e-08,0,0.187922308266713,8.92694667914157e-08,0,0.216028965181725,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-04-22,0,0,0.537123260663703,5.64703520595605e-08,0,0.184442633538622,9.03274654811436e-08,0,0.233213202224476,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2022-04-29,0,0,0.470191317430348,6.95559677219626e-08,0,0.189053426341164,9.0500353924102e-08,0,0.249937558218224,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
