"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type"
"113",2021-11-28,0,0,3.35737065865233,0.650959680426559,0,11.8904518971224,19.0283946188836,0,134.502654986305,20.2335153272487,9.00209781337927,31.4649328411181,29.2216053780094,12.8796426647049,9.00209781337927,31.4649328411181,"ARA Basel","IAV"
"114",2021-11-29,0,0,24.6152265870567,1.98322139083639,0,15.362888192485,52.2525082951348,0,216.512095934681,10.6297711237545,0,31.462150047754,13.1598836429563,8.36649644754569,0,31.462150047754,"ARA Basel","IAV"
"115",2021-11-30,0,0,60.0182540078269,3.97522649874582,0,22.2927909944879,177.109119117633,8.27288127968112,345.945356955584,9.24688805332667,0,38.0134160005051,10.4315775609832,8.13268663503856,0,38.0134160005051,"ARA Basel","IAV"
"116",2021-12-01,0,0,9.26744903284965,14.3333888681695,0,39.1756672309791,261.141027278662,130.748012184486,391.534042372839,5.44666020215479,0,18.8007391329064,5.93908121631617,4.97526921867934,0,18.8007391329064,"ARA Basel","IAV"
"117",2021-12-02,0,0,23.892635436914,30.7835126973725,0,64.6198638985589,304.666162863608,152.282967429371,457.049358297845,3.36095003286689,0,8.12623265659365,3.60687898026093,3.12358962564657,0,8.12623265659365,"ARA Basel","IAV"
"118",2021-12-03,0,0,32.1003813373824,49.8931290560499,8.64275655272019,91.1435015593796,440.751584102665,242.860150676075,638.643017529256,2.47016943533724,0,5.57500494396548,2.62507748701893,2.31990963304601,0,5.57500494396548,"ARA Basel","IAV"
"119",2021-12-04,0,0,18.707344500947,77.2213388617781,30.6542177548768,123.788459968679,720.600868657053,568.748288473285,872.45344884082,2.33206717747108,0.156049809545137,4.50808454539703,2.45294162795178,2.21420586153719,0.156049809545137,4.50808454539703,"ARA Basel","IAV"
"120",2021-12-05,0,0,22.9161378068414,111.054125276692,56.4370236637432,165.671226889641,1168.01499970943,960.02744317304,1376.00255624582,2.54251205586037,0.762128645457719,4.32289546626301,2.64679153900703,2.4403001143331,0.762128645457719,4.32289546626301,"ARA Basel","IAV"
"121",2021-12-06,0,0,115.261207520975,160.13962980196,98.7410951894729,221.538164414446,1247.5430241829,919.670146823534,1575.41590154227,2.27449171318107,0.625537815066217,3.92344561129592,2.35477960514463,2.1955776129912,0.625537815066217,3.92344561129592,"ARA Basel","IAV"
"122",2021-12-07,0,0,417.031664791665,224.197860933236,155.090863320192,293.30485854628,608.144933145015,320.768696391023,895.521169899008,1.49880343025271,0,3.88331408562801,1.55269337569979,1.4458524285826,0,3.88331408562801,"ARA Basel","IAV"
"123",2021-12-08,292.282229965157,258.348516923658,326.215943006655,281.394731396749,202.762669267457,360.026793526041,105.469518159766,0,263.46555835588,0.776892656550377,0,3.22250394333197,0.811649672449129,0.742886007906091,0,3.22250394333197,"ARA Basel","IAV"
"124",2021-12-09,584.564459930314,352.12547009604,817.003449764587,329.203246049857,242.999099945894,415.407392153821,5.26288709800105,0,101.790177370483,0.285000408544365,0,2.03674028724642,0.306206418455125,0.264545283193888,0,2.03674028724642,"ARA Basel","IAV"
"125",2021-12-10,389.709639953542,101.353464343309,678.065815563776,381.327826743126,286.873430605543,475.782222880708,0.0583257992820758,0,71.6184618414414,0.0560492515232634,0,1.26097013530945,0.0669545762079031,0.0461012905979974,0,1.26097013530945,"ARA Basel","IAV"
"126",2021-12-11,194.854819976771,28.7152253577437,360.994414595799,407.938470085938,309.181357769491,506.695582402385,0.000118114261211354,0,54.2039988788148,0.00431221031898685,0,0.839223614045079,0.00865594231286222,0.00147027642300569,0,0.839223614045079,"ARA Basel","IAV"
"127",2021-12-12,0,0,65.4000975500879,411.516715392907,312.785778184297,510.247652601518,3.55440616717649e-08,0,39.4556298246541,0.000145449828575185,0,0.601531940598088,0.00142928298068111,4.77084128529004e-20,0,0.601531940598088,"ARA Basel","IAV"
"128",2021-12-13,1153.90243902439,830.197143127693,1477.60773492109,418.533663290817,317.523975546445,519.543351035188,1.31556867502496e-12,0,23.9501425167037,0.000115009881706927,0,0.441865211984789,0.00131681287544667,1.93741932110239e-43,0,0.441865211984789,"ARA Basel","IAV"
"129",2021-12-14,2307.80487804878,1672.19587383548,2943.41388226208,410.803688933,309.816597123908,511.790780742092,5.61874347865627e-18,0,9.16077055101762,0.000225954092904525,0,0.321956126372577,0.00258697669865241,2.90958243057799e-43,0,0.321956126372577,"ARA Basel","IAV"
"130",2021-12-15,0,0,117.645321946876,383.513440017689,286.985590013025,480.041290022352,2.22740115769596e-24,0,1.72698700694153,0.00044823974383638,0,0.257216806105794,0.00513195288317871,5.77145877994875e-43,0,0.257216806105794,"ARA Basel","IAV"
"131",2021-12-16,0,0,136.994618381964,331.849564243115,245.86170909568,417.837419390551,1.67047209027901e-32,0,0.707072834501838,0.000892837125114555,0,0.241611883638516,0.0102222039019171,1.14960190839797e-42,0,0.241611883638516,"ARA Basel","IAV"
"132",2021-12-17,0,0,75.3277646959477,279.70573193966,203.898230153585,355.513233725734,4.08469069864104e-39,0,0.669290927842046,0.00178301471873678,0,0.269117215274942,0.0204139584951827,2.29577944924553e-42,0,0.269117215274942,"ARA Basel","IAV"
"133",2021-12-18,0,0,27.7073548715571,238.495621402733,170.076738361294,306.914504444172,1.92582755152029e-45,0,0.775970450391062,0.00356558572739374,0,0.370650005796825,0.0408228368981719,4.59098758493318e-42,0,0.370650005796825,"ARA Basel","IAV"
"134",2021-12-19,0.544425087108014,0,5.17256302754532,184.685892278112,128.433682972602,240.938101583623,2.20322296363876e-50,0,0.88067903131128,0.0071300270243708,0,0.566147739374367,0.0816325710693832,9.18050162071163e-42,0,0.566147739374367,"ARA Basel","IAV"
"135",2021-12-20,1.08885017421603,0,43.6798320027078,118.053147684409,77.2733798672045,158.832915501613,1.44925633034162e-52,0,1.03500227989015,0.0142267398531281,0,0.832801884953686,0.162883723746979,1.8318108449331e-41,0,0.832801884953686,"ARA Basel","IAV"
"136",2021-12-21,0.544425087108014,0,82.4974985730338,68.4132388110635,38.7645848478627,98.0618927742643,1.06968226815501e-51,0,1.44516388734176,0.0282182210509763,0,1.13859168529908,0.323073941728666,3.63333018523794e-41,0,1.13859168529908,"ARA Basel","IAV"
"137",2021-12-22,0,0,7.2571079956501,35.6331460645423,14.5753541598691,56.6909379692155,1.96142296316388e-48,0,1.9331142612693,0.0552498196318888,0,5.76027903068022,0.632562094400865,7.11387287791298e-41,0,5.76027903068022,"ARA Basel","IAV"
