"region","data_type","date","median_R_mean","median_R_highHPD","median_R_lowHPD"
"FR","infection_norm_n1",2021-08-09,1.4627760367666,1.7518209698018,1.17373110373139
"FR","infection_norm_n1",2021-08-10,1.46237924966693,1.75315919453649,1.17159930479736
"FR","infection_norm_n1",2021-08-11,1.45638038525739,1.73671644626247,1.1760443242523
"FR","infection_norm_n1",2021-08-12,1.44141606190031,1.70404288639492,1.17878923740571
"FR","infection_norm_n1",2021-08-13,1.42450120759726,1.67413228110127,1.17487013409326
"FR","infection_norm_n1",2021-08-14,1.40965189625787,1.65345753268755,1.1658462598282
"FR","infection_norm_n1",2021-08-15,1.39546846188404,1.63580047104083,1.15513645272726
"FR","infection_norm_n1",2021-08-16,1.38070106072113,1.61451273733506,1.1468893841072
"FR","infection_norm_n1",2021-08-17,1.36244076576683,1.58274446668434,1.14213706484933
"FR","infection_norm_n1",2021-08-18,1.33830628069356,1.54267060769807,1.13394195368904
"FR","infection_norm_n1",2021-08-19,1.30576372661195,1.49823147217008,1.11329598105382
"FR","infection_norm_n1",2021-08-20,1.26652044461809,1.45293365481132,1.08010723442486
"FR","infection_norm_n1",2021-08-21,1.21821103942254,1.40135177353391,1.03507030531117
"FR","infection_norm_n1",2021-08-22,1.15938246395216,1.33789955365837,0.980865374245952
"FR","infection_norm_n1",2021-08-23,1.09203767123825,1.26376558864546,0.92030975383104
"FR","infection_norm_n1",2021-08-24,1.02093982576045,1.18525555891797,0.85662409260293
"FR","infection_norm_n1",2021-08-25,0.950399162436701,1.11084455619756,0.789953768675841
"FR","infection_norm_n1",2021-08-26,0.888489216563171,1.05080266673321,0.726175766393134
"FR","infection_norm_n1",2021-08-27,0.842879467120957,1.01204671348924,0.673712220752679
"FR","infection_norm_n1",2021-08-28,0.814486042943193,0.992934195087593,0.636037890798793
"FR","infection_norm_n1",2021-08-29,0.799194539085084,0.984022888835264,0.614366189334904
"FR","infection_norm_n1",2021-08-30,0.792186499000184,0.979119806756507,0.60525319124386
"FR","infection_norm_n1",2021-08-31,0.790609284511763,0.976017566406557,0.605201002616969
"FR","infection_norm_n1",2021-09-01,0.790589087384953,0.972264248301319,0.608913926468588
